state,FIPS,county,value,percent
AR,5011,Bradley County,1042.857143,0.002479704
AR,5013,Calhoun County,1047.368421,0.002307327
AR,5015,Carroll County,1795.061728,0.006445793
AR,5017,Chicot County,1387.804878,0.003812268
AR,5019,Clark County,1427.419355,0.004653853
AR,5021,Clay County,1073.913043,0.002210785
AR,5023,Cleburne County,1557.591623,0.00611026
AR,5025,Cleveland County,1066.666667,0.00295731
AR,5027,Columbia County,1266.216216,0.004106983
AR,5029,Conway County,1164.885496,0.003669195
AR,5031,Craighead County,1744.572158,0.006134559
AR,5033,Crawford County,1351.522843,0.004919591
AR,5035,Crittenden County,1587.078652,0.006501412
AR,5037,Cross County,1198.019802,0.004022232
AR,5039,Dallas County,1129.62963,0.002734396
AR,5041,Desha County,1125.490196,0.002957757
AR,5043,Drew County,1316.346154,0.004002655
AR,5045,Faulkner County,1734.889868,0.007308856
AR,5047,Franklin County,1083.950617,0.002972956
AR,5049,Fulton County,1048.93617,0.003188359
AR,5051,Garland County,1887.037037,0.007094783
AR,5053,Grant County,1160.992908,0.004260802
AR,5055,Greene County,1371.615721,0.003888108
AR,5057,Hempstead County,1064.634146,0.002749927
AR,5059,Hot Spring County,1273.033708,0.004262563
AR,5061,Howard County,963.7931034,0.002591058
AR,5063,Independence County,1553.807107,0.004517608
AR,5065,Izard County,1378.125,0.004890735
AR,5067,Jackson County,1126,0.002462666
AR,5069,Jefferson County,1305.128205,0.005020388
AR,5071,Johnson County,1076.415094,0.002909089
AR,5073,Lafayette County,944.4444444,0.002728498
AR,5075,Lawrence County,767.9245283,0.001730972
AR,5077,Lee County,872.7272727,0.001706879
AR,5079,Lincoln County,974.4680851,0.002721881
AR,5081,Little River County,1008.474576,0.00272219
AR,5083,Logan County,1076.136364,0.002825727
AR,5085,Lonoke County,1524.068323,0.006163366
AR,5087,Madison County,1293.846154,0.00326484
AR,5089,Marion County,1451.898734,0.004454196
AR,5091,Miller County,1895.024876,0.004689281
AR,5093,Mississippi County,1164.5,0.003368898
AR,5095,Monroe County,1084,0.002654651
AR,5097,Montgomery County,1287.5,0.003563336
AR,5099,Nevada County,967.8571429,0.002052377
AR,5101,Newton County,1103.703704,0.002971205
AR,5103,Ouachita County,1192.622951,0.003448644
AR,5105,Perry County,1184.90566,0.003474028
AR,5107,Phillips County,996.8253968,0.002542129
AR,5109,Pike County,1280.952381,0.00338484
AR,5111,Poinsett County,1044.186047,0.002594941
AR,5113,Polk County,1053.684211,0.003397401
AR,5115,Pope County,1523.903509,0.005463372
AR,5117,Prairie County,881.25,0.002023464
AR,5119,Pulaski County,2747.267455,0.010632859
AR,5121,Randolph County,739.7260274,0.00210712
AR,5123,St. Francis County,994.7368421,0.003039944
AR,5125,Saline County,1863.897059,0.008739314
AR,5127,Scott County,924.137931,0.002003783
AR,5129,Searcy County,995.2380952,0.002257019
AR,5131,Sebastian County,1912.10121,0.006204925
AR,5133,Sevier County,864.9122807,0.002084514
AR,5135,Sharp County,1105.970149,0.003196087
AR,5137,Stone County,1337.037037,0.004257703
AR,5139,Union County,1606.498195,0.004485512
AR,5141,Van Buren County,1493.203883,0.005659135
AR,5143,Washington County,2179.197861,0.007556892
AR,5145,White County,1255.512573,0.004351032
AR,5147,Woodruff County,825,0.001818783
AR,5149,Yell County,1331.764706,0.003470859
CA,6001,Alameda County,6957.535181,0.023224304
CA,6003,Alpine County,4178.571429,0.022800795
CA,6005,Amador County,3165.530303,0.01692108
CA,6007,Butte County,3068.526591,0.014243041
CA,6009,Calaveras County,3509.090909,0.020738507
CA,6011,Colusa County,2767.79661,0.007812089
CA,6013,Contra Costa County,6757.296768,0.024674189
CA,6015,Del Norte County,2674.509804,0.012367283
CA,6017,El Dorado County,4712.621637,0.022863018
CA,6019,Fresno County,3345.258362,0.013746111
CA,6021,Glenn County,2458.910891,0.008315183
CA,6023,Humboldt County,3231.026439,0.014863727
CA,6025,Imperial County,2765.816808,0.009401447
CA,6027,Inyo County,3219.473684,0.012891084
CA,6029,Kern County,3288.0798,0.015005136
CA,6031,Kings County,2520.740019,0.009982417
CA,6033,Lake County,2941.247834,0.015369192
CA,6035,Lassen County,2281.893004,0.010489041
CA,6037,Los Angeles County,6284.902266,0.020564213
CA,6039,Madera County,2745.447088,0.012036809
CA,6041,Marin County,10458.8893,0.02541228
CA,6043,Mariposa County,2904.324324,0.014123677
CA,6045,Mendocino County,4088.571429,0.019071039
CA,6047,Merced County,2715.259009,0.010592928
CA,6049,Modoc County,2281.818182,0.008260274
CA,6051,Mono County,4804.605263,0.020725433
CA,6053,Monterey County,5303.204395,0.019169199
CA,6055,Napa County,5915.975495,0.020368799
CA,6057,Nevada County,4375.99319,0.023683777
CA,6059,Orange County,6420.637957,0.022613828
CA,6061,Placer County,5216.332571,0.025248371
CA,6063,Plumas County,2964.680851,0.015602046
CA,6065,Riverside County,4577.660513,0.024810368
CA,6067,Sacramento County,3806.816257,0.018008097
CA,6069,San Benito County,4804.257908,0.022784798
CA,6071,San Bernardino Count,3809.958081,0.019049952
CA,6073,San Diego County,5603.911635,0.021098488
CA,6075,San Francisco County,9314.919477,0.0135893
CA,6077,San Joaquin County,3792.849768,0.017604908
CA,6079,San Luis Obispo Coun,4886.310634,0.02383477
CA,6081,San Mateo County,9754.646173,0.020345187
CA,6083,Santa Barbara County,6161.685525,0.02056105
CA,6085,Santa Clara County,9040.712433,0.020483289
CA,6087,Santa Cruz County,5982.482305,0.022460683
CA,6089,Shasta County,2960.607595,0.0146475
CA,6091,Sierra County,2789.655172,0.013166889
CA,6093,Siskiyou County,2731.592689,0.012774489
CA,6095,Solano County,4019.129888,0.019622777
CA,6097,Sonoma County,5235.343619,0.022356616
CA,6099,Stanislaus County,3170.74318,0.01424445
CA,6101,Sutter County,3260.923077,0.015195623
CA,6103,Tehama County,2265.191147,0.009207507
CA,6105,Trinity County,2847.115385,0.013846478
CA,6107,Tulare County,2664.332344,0.011662583
CA,6109,Tuolumne County,3130.921986,0.016775244
CA,6111,Ventura County,5414.044507,0.0226272
CA,6113,Yolo County,4692.375143,0.019914015
CA,6115,Yuba County,2960.213415,0.015125764
CO,8001,Adams County,2214.113747,0.010315514
CO,8003,Alamosa County,1547.87234,0.004881076
CO,8005,Arapahoe County,2935.10467,0.011565213
CO,8007,Archuleta County,2156.849315,0.00935782
CO,8009,Baca County,1036.363636,0.002352941
CO,8011,Bent County,770,0.001319917
CO,8013,Boulder County,3644.944455,0.012857186
CO,8014,Broomfield County,3345.816073,0.014226807
CO,8015,Chaffee County,1858.189655,0.008555473
CO,8017,Cheyenne County,1166.666667,0.002858776
CO,8019,Clear Creek County,2277.380952,0.010817107
CO,8021,Conejos County,1223.684211,0.00408547
CO,8023,Costilla County,1233.333333,0.00326329
CO,8025,Crowley County,766.6666667,0.00177032
CO,8027,Custer County,2094.736842,0.010398432
CO,8029,Delta County,1294.396552,0.005219132
CO,8031,Denver County,2912.858636,0.009273345
CO,8033,Dolores County,1300,0.003825473
CO,8035,Douglas County,3342.528579,0.014073744
CO,8037,Eagle County,4213.591022,0.014412751
CO,8039,Elbert County,2339.64497,0.012163347
CO,8041,El Paso County,1894.114033,0.008153279
CO,8043,Fremont County,1351.097179,0.00529339
CO,8045,Garfield County,2147.819972,0.008132995
CO,8047,Gilpin County,1363.529412,0.00668285
CO,8049,Grand County,2474.747475,0.010646989
CO,8051,Gunnison County,2684.782609,0.010984368
CO,8053,Hinsdale County,2436.363636,0.012075336
CO,8055,Huerfano County,1600,0.006207536
CO,8057,Jackson County,1055.555556,0.003311258
CO,8059,Jefferson County,2693.506871,0.012217443
CO,8061,Kiowa County,925,0.001469012
CO,8063,Kit Carson County,1257.142857,0.003169823
CO,8065,Lake County,1918.965517,0.007266483
CO,8067,La Plata County,1755.886333,0.006943055
CO,8069,Larimer County,2428.203581,0.010419483
CO,8071,Las Animas County,985.3658537,0.003123164
CO,8073,Lincoln County,1296,0.003531451
CO,8075,Logan County,1315.702479,0.003161829
CO,8077,Mesa County,1460.897436,0.006658215
CO,8079,Mineral County,2855.555556,0.010152886
CO,8081,Moffat County,1252.941176,0.004588483
CO,8083,Montezuma County,1471.354167,0.004929246
CO,8085,Montrose County,1577.961433,0.006467581
CO,8087,Morgan County,1375.543478,0.004100279
CO,8089,Otero County,919.7183099,0.002267778
CO,8091,Ouray County,2758.441558,0.012354727
CO,8093,Park County,1715.294118,0.009812081
CO,8095,Phillips County,1360.606061,0.004160836
CO,8097,Pitkin County,7011.333333,0.014998627
CO,8099,Prowers County,889.1304348,0.002001027
CO,8101,Pueblo County,1620.8106,0.006168831
CO,8103,Rio Blanco County,1085.245902,0.00402598
CO,8105,Rio Grande County,1480.821918,0.004234632
CO,8107,Routt County,3154.907162,0.010811538
CO,8109,Saguache County,1848.148148,0.008281196
CO,8111,San Juan County,1400,0.003440226
CO,8113,San Miguel County,3982.882883,0.009988974
CO,8115,Sedgwick County,933.3333333,0.001832381
CO,8117,Summit County,3237.832311,0.012172527
CO,8119,Teller County,1795.901639,0.009365436
CO,8121,Washington County,1047.619048,0.002423388
CO,8123,Weld County,1844.014578,0.008236696
CO,8125,Yuma County,1274.074074,0.002894368
CT,9001,Fairfield County,10707.30368,0.026837209
CT,9003,Hartford County,6707.663767,0.032944561
CT,9005,Litchfield County,6210.543046,0.03269252
CT,9007,Middlesex County,6614.036997,0.034771481
CT,9009,New Haven County,6735.359116,0.033075016
CT,9011,New London County,5661.977927,0.02837092
CT,9013,Tolland County,6248.373029,0.034066163
CT,9015,Windham County,4489.342806,0.024497427
DE,10001,Kent County,1737.363239,0.007927005
DE,10003,New Castle County,3055.81423,0.013717693
DE,10005,Sussex County,1974.92163,0.008351349
DC,11001,District of Columbia,4529.133134,0.012259048
FL,12001,Alachua County,4231.187335,0.012441732
FL,12003,Baker County,2078.666667,0.006407872
FL,12005,Bay County,3208.61244,0.008785423
FL,12007,Bradford County,2240.17094,0.006115773
FL,12009,Brevard County,3726.613546,0.01200696
FL,12011,Broward County,5299.758429,0.01748474
FL,12013,Calhoun County,2354.054054,0.004365324
FL,12015,Charlotte County,4759.473999,0.01816608
FL,12017,Citrus County,3122.043011,0.009573131
FL,12019,Clay County,3213.138686,0.011206564
FL,12021,Collier County,9244.412666,0.019380081
FL,12023,Columbia County,2717.492711,0.007701753
FL,12027,DeSoto County,3481.981982,0.008248941
FL,12029,Dixie County,2247.916667,0.005296303
FL,12031,Duval County,3757.708279,0.011653075
FL,12033,Escambia County,2717.558779,0.007419774
FL,12035,Flagler County,4408.508604,0.016362525
FL,12037,Franklin County,5403.076923,0.012501023
FL,12039,Gadsden County,2177.220077,0.007468983
FL,12041,Gilchrist County,2075,0.005776706
FL,12043,Glades County,3031.578947,0.005302403
FL,12045,Gulf County,3624.137931,0.010958304
FL,12047,Hamilton County,1669.230769,0.003660203
FL,12049,Hardee County,2322.077922,0.004606597
FL,12051,Hendry County,3400,0.006714599
FL,12053,Hernando County,2796.859666,0.008324155
FL,12055,Highlands County,2745.625,0.007897036
FL,12057,Hillsborough County,4420.045859,0.012685707
FL,12059,Holmes County,1656.896552,0.003803606
FL,12061,Indian River County,7899.80405,0.018550512
FL,12063,Jackson County,2076.630435,0.005115579
FL,12065,Jefferson County,2662.921348,0.008437917
FL,12067,Lafayette County,1929.62963,0.00531573
FL,12069,Lake County,3345.08547,0.011859826
FL,12071,Lee County,6340.89624,0.019166426
FL,12073,Leon County,3625.213849,0.012137287
FL,12075,Levy County,2653.26087,0.007558083
FL,12077,Liberty County,2295.833333,0.005061686
FL,12079,Madison County,2126.25,0.005985432
FL,12081,Manatee County,5012.506753,0.015916899
FL,12083,Marion County,3257.406553,0.010079536
FL,12085,Martin County,7696.976967,0.020508846
FL,12086,Miami-Dade County,5955.378426,0.015338297
FL,12087,Monroe County,7252.349624,0.016656881
FL,12089,Nassau County,4745.780591,0.016401666
FL,12091,Okaloosa County,3294.950667,0.009606644
FL,12093,Okeechobee County,2792.02454,0.007085662
FL,12095,Orange County,4349.707545,0.012411775
FL,12097,Osceola County,3182.898696,0.010393251
FL,12099,Palm Beach County,7853.899162,0.020036362
FL,12101,Pasco County,3365.150714,0.011167722
FL,12103,Pinellas County,4807.333333,0.012739347
FL,12105,Polk County,2951.35722,0.008088556
FL,12107,Putnam County,2997.560976,0.00797011
FL,12109,St. Johns County,5381.17747,0.018089816
FL,12111,St. Lucie County,4323.209877,0.015681672
FL,12113,Santa Rosa County,2758.256556,0.008829292
FL,12115,Sarasota County,6134.093142,0.018630702
FL,12117,Seminole County,3615.656229,0.011719163
FL,12119,Sumter County,4669.043375,0.019413
FL,12121,Suwannee County,2375.739645,0.006081822
FL,12123,Taylor County,2209.677419,0.005420876
FL,12125,Union County,2070.454545,0.004719645
FL,12127,Volusia County,3969.499128,0.012925832
FL,12129,Wakulla County,2489.756098,0.008074327
FL,12131,Walton County,4767.757774,0.011501873
FL,12133,Washington County,1869.473684,0.004899486
GA,13001,Appling County,1551.587302,0.006409752
GA,13003,Atkinson County,1615.384615,0.004585603
GA,13005,Bacon County,2954.054054,0.012857235
GA,13007,Baker County,1518.75,0.005647485
GA,13009,Baldwin County,2120.111732,0.010439849
GA,13011,Banks County,2062.758621,0.009685222
GA,13013,Barrow County,2087.755102,0.011915331
GA,13015,Bartow County,2186.153846,0.010389083
GA,13017,Ben Hill County,2161.904762,0.009159209
GA,13019,Berrien County,2001.030928,0.007466533
GA,13021,Bibb County,2707.453416,0.012273307
GA,13023,Bleckley County,2082.407407,0.010406689
GA,13025,Brantley County,2087.272727,0.009316896
GA,13027,Brooks County,2238.709677,0.008964246
GA,13029,Bryan County,2739.278937,0.014134594
GA,13031,Bulloch County,2046.835443,0.009337252
GA,13033,Burke County,1681.395349,0.007219838
GA,13035,Butts County,2290.57377,0.012465124
GA,13037,Calhoun County,1648.387097,0.007409985
GA,13039,Camden County,2438.330171,0.012363235
GA,13043,Candler County,2292.307692,0.010411863
GA,13045,Carroll County,1886.923801,0.008356643
GA,13047,Catoosa County,1854.075235,0.009030826
GA,13049,Charlton County,2176.785714,0.008650482
GA,13051,Chatham County,3568.150685,0.01509337
GA,13053,Chattahoochee County,1993.75,0.003225448
GA,13055,Chattooga County,1455.474453,0.005589505
GA,13057,Cherokee County,2733.3577,0.014723337
GA,13059,Clarke County,2978.571429,0.012172254
GA,13061,Clay County,1992.857143,0.00812369
GA,13063,Clayton County,1514.40718,0.007885029
GA,13065,Clinch County,2108.571429,0.007541694
GA,13067,Cobb County,2878.062062,0.01250392
GA,13069,Coffee County,1987.553648,0.007494922
GA,13071,Colquitt County,2337.837838,0.00893483
GA,13073,Columbia County,2748.159645,0.014119649
GA,13075,Cook County,2044.444444,0.00829464
GA,13077,Coweta County,2456.752941,0.013497316
GA,13079,Crawford County,1929,0.009477299
GA,13081,Crisp County,2659.285714,0.011623732
GA,13083,Dade County,1900.892857,0.007776998
GA,13085,Dawson County,2670.977918,0.01393018
GA,13087,Decatur County,2454.773869,0.010997076
GA,13089,DeKalb County,3719.761731,0.016415263
GA,13091,Dodge County,1781.300813,0.008611812
GA,13093,Dooly County,2161.666667,0.008830458
GA,13095,Dougherty County,2830.735931,0.012438835
GA,13097,Douglas County,2234.706239,0.012435023
GA,13099,Early County,1930.645161,0.007846145
GA,13101,Echols County,2050,0.00713866
GA,13103,Effingham County,2330.548628,0.013800023
GA,13105,Elbert County,1963.909774,0.008335594
GA,13107,Emanuel County,2070.229008,0.008463416
GA,13109,Evans County,2240.909091,0.008473071
GA,13111,Fannin County,2064.125561,0.010539379
GA,13113,Fayette County,3516.689342,0.016823545
GA,13115,Floyd County,2541.224971,0.010495566
GA,13117,Forsyth County,3391.796161,0.016600962
GA,13119,Franklin County,2093.630573,0.008878025
GA,13121,Fulton County,5347.704783,0.016478324
GA,13123,Gilmer County,2067.98419,0.009603789
GA,13125,Glascock County,1533.333333,0.006110115
GA,13127,Glynn County,2867.979275,0.012907583
GA,13129,Gordon County,2088.372093,0.00874417
GA,13131,Grady County,2097.546012,0.008493038
GA,13133,Greene County,4928.215768,0.01899053
GA,13135,Gwinnett County,3246.237186,0.016745552
GA,13137,Habersham County,2179.900744,0.010353931
GA,13139,Hall County,2796.241259,0.013334125
GA,13141,Hancock County,2555.357143,0.013207077
GA,13143,Haralson County,2274.796748,0.010932826
GA,13145,Harris County,2737.00361,0.015710039
GA,13147,Hart County,2446.601942,0.011102593
GA,13149,Heard County,1348.717949,0.005942663
GA,13151,Henry County,2471.075167,0.015233083
GA,13153,Houston County,2178.67374,0.011399187
GA,13155,Irwin County,1858.333333,0.008003962
GA,13157,Jackson County,2681.014151,0.01560033
GA,13159,Jasper County,2560.544218,0.014535456
GA,13161,Jeff Davis County,1624.050633,0.00661654
GA,13163,Jefferson County,1795.714286,0.01011556
GA,13165,Jenkins County,1986.046512,0.008258788
GA,13167,Johnson County,1910,0.008932246
GA,13169,Jones County,2475.216138,0.014159505
GA,13171,Lamar County,2083.832335,0.011825794
GA,13173,Lanier County,2187.5,0.008727091
GA,13175,Laurens County,1947.654321,0.009071181
GA,13177,Lee County,2495.16129,0.013418203
GA,13179,Liberty County,2591.148325,0.010570356
GA,13181,Lincoln County,2889.61039,0.015142956
GA,13183,Long County,2209.333333,0.008051819
GA,13185,Lowndes County,2315.287356,0.009790684
GA,13187,Lumpkin County,2388.339223,0.011613701
GA,13189,McDuffie County,1921.910112,0.00896263
GA,13191,McIntosh County,2566.666667,0.012910497
GA,13193,Macon County,1748.333333,0.006781918
GA,13195,Madison County,1990.909091,0.0095268
GA,13197,Marion County,1744.186047,0.006626671
GA,13199,Meriwether County,2174.456522,0.011517514
GA,13201,Miller County,2377.272727,0.011991562
GA,13205,Mitchell County,2248.854962,0.009233373
GA,13207,Monroe County,2502.346041,0.01194924
GA,13209,Montgomery County,2032.786885,0.009088177
GA,13211,Morgan County,3343.426295,0.017430606
GA,13213,Murray County,1452.284264,0.004719136
GA,13215,Muscogee County,2821.556196,0.011471345
GA,13217,Newton County,1971.440329,0.011947772
GA,13219,Oconee County,3316.424419,0.013919272
GA,13221,Oglethorpe County,2043.846154,0.009904681
GA,13223,Paulding County,2122.383178,0.012940432
GA,13225,Peach County,2622.525597,0.014651735
GA,13227,Pickens County,2845.833333,0.014302201
GA,13229,Pierce County,2222.151899,0.010223901
GA,13231,Pike County,2350,0.013785208
GA,13233,Polk County,1940.068493,0.00857807
GA,13235,Pulaski County,2259.74026,0.010904305
GA,13237,Putnam County,3033.193277,0.013978878
GA,13239,Quitman County,1877.777778,0.006318229
GA,13241,Rabun County,3160.509554,0.014456062
GA,13243,Randolph County,1990.909091,0.007820777
GA,13245,Richmond County,2382.542579,0.010815239
GA,13247,Rockdale County,1825,0.010322924
GA,13249,Schley County,2067.647059,0.00960947
GA,13251,Screven County,2009.803922,0.009439262
GA,13253,Seminole County,2118.333333,0.008417051
GA,13255,Spalding County,2549.74271,0.013084777
GA,13257,Stephens County,2586.021505,0.010402542
GA,13259,Stewart County,1882.352941,0.005786723
GA,13261,Sumter County,2872.037915,0.013135079
GA,13263,Talbot County,1687.931034,0.009914526
GA,13265,Taliaferro County,2475,0.009630819
GA,13267,Tattnall County,2153.968254,0.008467305
GA,13269,Taylor County,1680.357143,0.007608344
GA,13271,Telfair County,2239.215686,0.008354977
GA,13273,Terrell County,2278.125,0.009886824
GA,13275,Thomas County,2754.228856,0.01106702
GA,13277,Tift County,2501.173021,0.011172314
GA,13279,Toombs County,1976.732673,0.008428087
GA,13281,Towns County,1941.935484,0.010450709
GA,13283,Treutlen County,1519.512195,0.00701869
GA,13285,Troup County,2371.755725,0.01144776
GA,13287,Turner County,1812.5,0.007357978
GA,13289,Twiggs County,1789.0625,0.00865634
GA,13291,Union County,2108.606557,0.011481453
GA,13293,Upson County,2066.304348,0.008698736
GA,13295,Walker County,2051.298701,0.008189872
GA,13297,Walton County,2644.472362,0.015625657
GA,13299,Ware County,2041.628959,0.007847953
GA,13301,Warren County,1740,0.007823339
GA,13303,Washington County,2229.239766,0.010606094
GA,13305,Wayne County,2012.888889,0.009655378
GA,13307,Webster County,1523.076923,0.006426068
GA,13309,Wheeler County,1746.153846,0.007354013
GA,13311,White County,2493.258427,0.013175838
GA,13313,Whitfield County,2209.752747,0.007646883
GA,13315,Wilcox County,1672.5,0.007092875
GA,13317,Wilkes County,2574.193548,0.010494063
GA,13319,Wilkinson County,1656,0.007950021
GA,13321,Worth County,1909.815951,0.009119431
HI,15001,Hawaii County,2188.389923,0.009070849
HI,15003,Honolulu County,2391.09175,0.008692496
HI,15007,Kauai County,2271.409396,0.007848699
HI,15009,Maui County,1725.700656,0.0066654
ID,16001,Ada County,3031.917851,0.014704374
ID,16003,Adams County,2020.588235,0.009466983
ID,16005,Bannock County,2374.463007,0.011923488
ID,16007,Bear Lake County,1362.711864,0.007052384
ID,16009,Benewah County,1771.875,0.006899573
ID,16011,Bingham County,1767.647059,0.008356159
ID,16013,Blaine County,5515.143603,0.018978386
ID,16015,Boise County,2384.615385,0.012849437
ID,16017,Bonner County,2714.377682,0.012670794
ID,16019,Bonneville County,2067.605634,0.009226605
ID,16021,Boundary County,1996.511628,0.007876978
ID,16023,Butte County,1310,0.00585501
ID,16025,Camas County,1587.5,0.005014411
ID,16027,Canyon County,2164.976959,0.010215284
ID,16029,Caribou County,1460,0.006482063
ID,16031,Cassia County,1444.871795,0.005269261
ID,16033,Clark County,600,0.001692206
ID,16035,Clearwater County,1926.229508,0.007631456
ID,16037,Custer County,1506.666667,0.005610307
ID,16039,Elmore County,1915.09434,0.006530201
ID,16041,Franklin County,1541.911765,0.008356746
ID,16043,Fremont County,1891.452991,0.010375545
ID,16045,Gem County,1798.051948,0.008688967
ID,16047,Gooding County,1512.790698,0.007313262
ID,16049,Idaho County,1526.363636,0.006083267
ID,16051,Jefferson County,1707.096774,0.009956314
ID,16053,Jerome County,1774.820144,0.006883006
ID,16055,Kootenai County,2624.322969,0.013176239
ID,16057,Latah County,2878.873239,0.012180892
ID,16059,Lemhi County,1590.163934,0.006352283
ID,16061,Lewis County,1637.037037,0.005995009
ID,16063,Lincoln County,1031.818182,0.002710318
ID,16065,Madison County,2044.863014,0.011422199
ID,16067,Minidoka County,1487.068966,0.004517883
ID,16069,Nez Perce County,2587.919463,0.012184371
